NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
Kepler-107 d,,0.0780099,7.958203,,90,2454970.79968,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1049 b,,0.0344721,3.27346074,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-813 b,,0.13761,19.12947337,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-427 b,0.310432,0.091351,10.290994,0,90,2454970.02207,29.8,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B
Kepler-1056 b,,0.185149,27.495606,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1165 b,,0.0912977,9.478522,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1104 b,,0.0627651,5.03728015,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,Horner 2012,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B
Kepler-1279 b,,0.170989,23.4774101,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1599 b,,0.48075,122.363553,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A
Kepler-181 b,,0.0419466,3.137873,,90,2454966.5556199998,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
Kepler-207 b,,0.0269045,1.611865,,90,2454966.57041,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1156 b,,0.101981,11.89520511,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1512 b,,0.13139,20.35972599,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-787 b,,0.0161327,0.9283105,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-528 b,,0.143629,19.78297415,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M
Kepler-480 b,,0.0609811,4.9195838,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1567 b,,0.5527,153.979578,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1390 b,,0.0675681,6.48021673,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1642 b,,0.0994208,12.2057513,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-11 c,,0.106909,13.0241,0.026,51.3402,2455582.016,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-871 b,,0.159318,22.0459018,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1131 b,,0.0458416,3.53232449,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-705 b,,0.231978,56.0560538,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,2451545.86,167,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N
WASP-21 b,0.300201,0.0521087,4.322482,0,90,2454743.0419,37.2,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B
Kepler-284 c,,0.219317,37.514456,,90,2455022.30068,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-186 c,,0.0574114,7.267302,0.03,270,2455003.681,,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q
HD 4308 b,0.0477376,0.119192,15.56,0,359,2453314.7,4.07,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U
Kepler-239 b,,0.101225,11.763051,,90,2455013.93614,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-651 b,,0.146649,21.38521506,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-80 f,,0.017386,0.98678706,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1217 b,,0.0320163,2.03232507,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-895 b,,0.0337283,2.80624233,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-628 b,,0.121444,15.4580567,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-174 b,,0.113583,13.98179,,90,2455014.97351,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-440 b,,0.353207,101.11141,0,90,2455756.2986,,Torres 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...99T,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B
Kepler-403 d,,0,13.61159129,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-224 d,,0.0988375,11.349393,,90,2454967.31602,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-389 c,,0.116434,14.51143,,90,2454976.86026,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-674 b,,0.0282874,2.24338185,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1047 c,,0.0435026,3.18897601,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1247 b,,0.106621,13.71220213,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1210 b,,0.0771394,8.07124073,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-254 c,,0.104915,12.412183,,90,2454975.53938,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-236 c,,0.162691,23.968127,,90,2455019.2169,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-25 b,0.578118,0.0473714,3.764825,0,90,2455274.99649,75.5,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E
Kepler-186 d,,0.0860831,13.342996,0.03,270,2455003.233,,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q
Kepler-1646 b,,0.0330793,4.48558383,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 24040 b,4.02189,4.92406,3668,0.04,154,2454308,47.4,Boisse 2012,http://adsabs.harvard.edu/abs/2012A%26A...545A..55B,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W
Kepler-359 c,,0.292189,57.68802,,90,2454972.94136,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-211 c,,0.0649112,6.04045,,90,2455005.59435,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-967 b,,0.103279,13.22713379,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1574 b,,0.0726189,6.9424334,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1157 b,,0.0483728,4.45743164,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-549 b,,0.230006,42.9495649,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1510 b,,0.399998,84.703921,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1002 b,,0.0556094,4.33642933,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-294 c,,0.0690438,6.6264,,90,2455016.98818,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-263 c,,0.256083,47.332773,,90,2454984.4095,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-349 b,,0.0641159,5.929778,,90,2454968.49118,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1563 b,,0.0445351,3.43276598,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1611 b,,0.0573666,5.1762429,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1284 b,,0.0140554,0.66407381,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 200964 b,1.94873,1.64347,613.8,0.04,288,2454900,34.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J
Kepler-706 b,,0.223617,41.40831347,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2454459.49,145.33,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S
HD 218566 b,0.212872,0.687282,225.7,0.3,36,2450360,8.3,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817118141,7.22,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C
Kepler-1177 b,,0.436075,106.247547,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1364 b,,0.125617,13.32196237,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-653 b,,0.118258,14.70748976,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-553 b,,0.0482066,4.03046804,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-361 b,,0.081426,8.486616,,90,2454971.01734,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-318 c,,0.101523,11.815007,,90,2454966.08965,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-372 b,,0.0705863,6.849692,,90,2454967.68069,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-197 e,,0.168262,25.209715,,90,2454987.41342,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 141937 b,9.4752,1.50087,653.21997,0.41,187.72,2451847.38,234.5,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U
Kepler-405 c,,0.187804,29.726682,,90,2456560.20398,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-104 d,,0.271796,51.755394,,90,2455104.08611,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-702 b,,0.0907551,10.52629406,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-26 d,,0.0454914,3.543919,,90,2454969.25903,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-159 b,,0.0916828,10.139623,,90,2455011.44948,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 156668 b,0.0130582,0.0499846,4.6455,0,90,2454718.57,1.89,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H
MOA-2009-BLG-387L b,,1.76808,1970,,,,,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B
Kepler-1045 b,,0.165053,26.41045478,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-905 b,,0.0568739,5.08274652,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-763 b,,0.0208123,1.19655156,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1376 b,,0.059158,5.30880656,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-32 f,,0.0130732,0.74296,0,90,2454965.54,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F
WASP-103 b,1.48481,0.0198682,0.925542,0,90,2456459.59957,271,Gillon 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.2784G,Gillon 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.2784G
Kepler-990 c,,0.0131638,0.53835431,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-221 e,,0.136253,18.369917,,90,2454964.86048,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1028 b,,0.0349411,2.51462432,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-256 c,,0.0441473,3.38802,,90,2455003.53221,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
GJ 649 b,0.325341,1.13179,598.3,0.3,352,2452876,12.4,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J
Kepler-1333 b,,0.439185,109.6471842,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-276 b,,0.114376,14.12841,,90,2454975.89515,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1042 b,,0.0832577,10.13202575,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-264 c,,0.52792,140.101261,,90,2455049.22078,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 132406 b,5.60495,1.98227,974,0.34,214,2453474,115,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D
Kepler-143 b,,0.124306,16.007583,,90,2454975.63677,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1225 b,,0.0746694,7.01075434,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-189 c,,0.144846,20.134866,,90,2455004.36552,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 38529 c,12.2603,3.6002,2146.0503,0.355094,17.9023,2452255.921,169.033,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F
Kepler-62 b,,0.0552794,5.714932,0.0707107,278.13,2455001.21,,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
Kepler-281 b,,0.117153,14.646008,,90,2454969.51691,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1006 b,,0.13168,19.76172042,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-196 c,,0.256426,47.427737,,90,2455049.55425,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-238 c,,0.0657332,6.155557,,90,2454967.82322,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-49 c,,0.07889,10.9129343,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
Kepler-55 c,,0.202122,42.1516418,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B
Kepler-791 b,,0.127324,14.5539759,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-19 b,1.11405,0.0163152,0.78884,0.0046,3,2455168.771,257,Hellier 2011,http://adsabs.harvard.edu/abs/2011ApJ...730L..31H,Hebb 2010,http://adsabs.harvard.edu/abs/2010ApJ...708..224H
Kepler-310 d,,0.401368,92.876125,,90,2454978.92567,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-619 c,,0.022851,1.20846503,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-204 c,,0.170262,25.660593,,90,2454988.15165,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-26 b,,0.0902469,12.282356,0,90,2454978.8321,,Steffen 2012,http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
Kepler-374 c,,0.0432285,3.282807,,90,2454964.89972,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-395 b,,0.0719854,7.054346,,90,2454969.19136,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 126614 A b,0.385706,2.36847,1244,0.41,243,2453808,7.3,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H
Kepler-875 b,,0.181834,27.5073799,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1508 b,,0.154158,20.7056504,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1568 b,,0.152944,20.925392,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-80 e,,0.0544864,4.645387,,90,2454967.58736,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-83 d,,0.0585134,5.169796,,90,2455005.631,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
